State,Number.of.Vouchers.NUMERIC.x,Number.of.Vouchers.x,Percent.of.Vouchers.x,Annual.Cost.of.Vouchers.x,Number.of.Vouchers.Going.to.Rental.Households.with.Children.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Children.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Children.x,Number.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Seniors.x,Number.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.x,Number.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.x,Number.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.x,Number.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Percent.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Cost.of.Vouchers.Going.to.Rental.Households.in.Poverty.x,Number.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Percent.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Cost.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.x,Number.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.x,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.x,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.x,Actual.Number.of.Vouchers.Available.2020.x,Estimated.Monthly.Expenditure.x,Estimated.Annual.Expenditure.x,AMI.x,Number.of.Vouchers.NUMERIC.y,Number.of.Vouchers.y,Percent.of.Vouchers.y,Annual.Cost.of.Vouchers.y,Number.of.Vouchers.Going.to.Rental.Households.with.Children.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Children.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Children.y,Number.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Seniors.y,Number.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Black.Householders.y,Number.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Hispanic.Householders.y,Number.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Householders.of.Color.y,Number.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Percent.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Cost.of.Vouchers.Going.to.Rental.Households.in.Poverty.y,Number.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Percent.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Cost.of.Vouchers.Going.to.Rental.Households.with.Food.Stamps.y,Number.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.y,Total.Monthly.Cost.of.Vouchers.if.Only.Renters.Participate.y,Total.Annual.Cost.of.Vouchers.if.Only.Renters.Participate.y,Actual.Number.of.Vouchers.Available.2020.y,Estimated.Monthly.Expenditure.y,Estimated.Annual.Expenditure.y,AMI.y,Voucher_Gap,Eligible_HH,Actual_Vouchers_Avail
Alabama,60685,"60,685",1.50%,"$287,618,176 ","19,361",31.90%,"$101,514,744 ","19,146",31.50%,"$69,849,296 ","30,447",50.20%,"$138,475,472 ","1,340",2.20%,"$7,670,612 ","33,932",55.90%,"$158,471,216 ","57,715",95.10%,"$276,812,096 ","32,218",53.10%,"$131,621,688 ","155,144","$1,463,770,464 ","$72,907,440 ","$874,889,280 ","38,828","$22,403,756 ","$268,845,072 ",30,94214,"94,214",1.50%,"$397,953,280 ","26,400",28.00%,"$127,961,992 ","34,167",36.30%,"$114,326,480 ","43,989",46.70%,"$183,133,920 ","2,311",2.50%,"$10,792,244 ","49,552",2.50%,"$210,083,568 ","63,150",67.00%,"$295,980,544 ","41,821",44.40%,"$163,325,360 ","234,746","$2,193,077,184 ","$98,698,008 ","$1,184,376,096 ","38,828","$22,403,756 ","$268,845,072 ",50,116316,155144,38828
Alaska,6470,"6,470",0.20%,"$42,308,864 ","1,965",30.40%,"$15,738,563 ","2,360",36.50%,"$12,743,235 ",331,5.10%,"$2,673,749 ",290,4.50%,"$2,141,217 ","2,917",45.10%,"$16,768,616 ","3,894",60.20%,"$28,265,320 ","2,761",42.70%,"$14,612,584 ","15,866","$225,390,000 ","$10,473,593 ","$125,683,116 ","4,858","$2,866,220 ","$34,394,640 ",30,11149,"11,149",0.20%,"$69,682,424 ","3,453",31.00%,"$26,385,098 ","3,666",32.90%,"$18,481,904 ",457,4.10%,"$3,701,800 ",566,5.10%,"$4,916,949 ","4,567",5.10%,"$27,006,496 ","4,470",40.10%,"$30,949,056 ","3,758",33.70%,"$19,606,472 ","28,043","$379,116,432 ","$17,458,378 ","$209,500,536 ","4,858","$2,866,220 ","$34,394,640 ",50,11008,15866,4858
Arizona,77774,"77,774",2.00%,"$547,131,648 ","26,161",33.60%,"$178,547,840 ","26,702",34.30%,"$171,199,744 ","6,712",8.60%,"$47,714,620 ","23,234",29.90%,"$134,819,312 ","38,114",49.00%,"$234,753,856 ","70,535",90.70%,"$509,260,960 ","32,653",42.00%,"$182,040,016 ","182,368","$2,360,150,784 ","$117,256,728 ","$1,407,080,736 ","24,822","$19,510,092 ","$234,121,104 ",30,127066,"127,066",2.00%,"$795,361,344 ","38,861",30.60%,"$241,669,392 ","47,233",37.20%,"$277,348,000 ","10,577",8.30%,"$67,826,048 ","35,901",28.30%,"$186,634,592 ","58,620",28.30%,"$324,471,584 ","77,637",61.10%,"$544,308,288 ","44,639",35.10%,"$231,800,896 ","296,187","$3,575,436,672 ","$166,979,136 ","$2,003,749,632 ","24,822","$19,510,092 ","$234,121,104 ",50,157546,182368,24822
Arkansas,35313,"35,313",0.90%,"$163,280,608 ","10,624",30.10%,"$55,854,496 ","11,924",33.80%,"$47,967,008 ","11,387",32.20%,"$52,350,796 ","1,353",3.80%,"$7,015,638 ","14,102",39.90%,"$66,085,744 ","33,728",95.50%,"$157,025,696 ","16,712",47.30%,"$66,264,312 ","91,689","$749,240,544 ","$40,288,088 ","$483,457,056 ","26,507","$11,742,601 ","$140,911,212 ",30,61356,"61,356",1.00%,"$247,577,856 ","18,159",29.60%,"$82,685,576 ","22,304",36.40%,"$81,327,288 ","17,960",29.30%,"$73,753,128 ","2,582",4.20%,"$11,511,971 ","23,112",4.20%,"$95,776,472 ","40,493",66.00%,"$180,501,696 ","23,984",39.10%,"$88,877,072 ","157,724","$1,241,866,560 ","$60,094,404 ","$721,132,848 ","26,507","$11,742,601 ","$140,911,212 ",50,65182,91689,26507
California,513259,"513,259",13.00%,"$4,911,226,368 ","155,696",30.30%,"$1,567,642,368 ","223,737",43.60%,"$1,713,717,248 ","59,437",11.60%,"$517,372,320 ","153,067",29.80%,"$1,280,804,352 ","302,107",58.90%,"$2,713,595,904 ","374,600",73.00%,"$3,781,797,120 ","143,356",27.90%,"$1,187,838,464 ","1,422,510","$22,165,604,352 ","$1,237,879,168 ","$14,854,550,016 ","349,944","$424,482,072 ","$5,093,784,864 ",30,826629,"826,629",12.80%,"$7,288,191,488 ","266,860",32.30%,"$2,409,944,320 ","337,039",40.80%,"$2,526,095,360 ","88,573",10.70%,"$725,089,920 ","263,258",31.80%,"$2,010,325,248 ","480,820",31.80%,"$3,978,780,928 ","417,210",50.50%,"$4,132,916,224 ","196,864",23.80%,"$1,535,903,872 ","2,333,070","$35,124,827,136 ","$1,839,348,608 ","$22,072,183,296 ","349,944","$424,482,072 ","$5,093,784,864 ",50,1072566,1422510,349944
Colorado,57353,"57,353",1.50%,"$466,404,320 ","13,731",23.90%,"$121,127,872 ","23,065",40.20%,"$155,405,456 ","4,984",8.70%,"$37,856,424 ","9,909",17.30%,"$68,132,984 ","19,265",33.60%,"$141,580,656 ","42,099",73.40%,"$363,274,816 ","20,745",36.20%,"$125,096,488 ","151,317","$2,195,992,320 ","$112,633,432 ","$1,351,601,184 ","35,561","$34,636,414 ","$415,636,968 ",30,101032,"101,032",1.60%,"$744,040,000 ","26,122",25.90%,"$199,556,464 ","37,453",37.10%,"$252,057,504 ","7,620",7.50%,"$53,728,640 ","18,058",17.90%,"$114,521,456 ","32,417",17.90%,"$219,732,336 ","48,162",47.70%,"$406,813,536 ","28,264",28.00%,"$163,939,168 ","273,855","$3,747,019,776 ","$179,263,680 ","$2,151,164,160 ","35,561","$34,636,414 ","$415,636,968 ",50,115756,151317,35561
Connecticut,56732,"56,732",1.40%,"$393,043,008 ","13,153",23.20%,"$118,333,008 ","26,983",47.60%,"$143,442,352 ","11,217",19.80%,"$75,834,904 ",800,1.40%,"$6,873,159 ","15,256",26.90%,"$109,947,272 ","36,285",64.00%,"$281,948,736 ","31,198",55.00%,"$188,471,792 ","140,852","$1,869,070,272 ","$92,721,976 ","$1,112,663,712 ","43,986","$43,634,112 ","$523,609,344 ",30,89746,"89,746",1.40%,"$578,914,496 ","22,449",25.00%,"$176,237,632 ","40,704",45.40%,"$217,182,800 ","17,057",19.00%,"$108,718,888 ","1,572",1.80%,"$11,316,043 ","23,430",1.80%,"$156,229,840 ","39,629",44.20%,"$302,700,576 ","39,298",43.80%,"$232,408,400 ","227,510","$3,101,140,032 ","$136,778,128 ","$1,641,337,536 ","43,986","$43,634,112 ","$523,609,344 ",50,96866,140852,43986
Delaware,6900,"6,900",0.20%,"$50,146,908 ","1,989",28.80%,"$14,492,279 ","2,604",37.70%,"$14,054,040 ","2,826",41.00%,"$18,389,482 ",349,5.10%,"$2,527,612 ","3,552",51.50%,"$23,855,942 ","5,805",84.10%,"$45,198,308 ","3,289",47.70%,"$17,794,566 ","24,979","$376,877,544 ","$17,643,314 ","$211,719,768 ","5,549","$4,256,083 ","$51,072,996 ",30,11289,"11,289",0.20%,"$71,953,824 ","3,281",29.10%,"$21,431,006 ","4,297",38.10%,"$20,978,342 ","4,444",39.40%,"$25,614,118 ",509,4.50%,"$3,443,910 ","5,583",4.50%,"$33,096,034 ","6,359",56.30%,"$48,508,380 ","4,508",39.90%,"$23,314,048 ","40,812","$575,465,616 ","$24,936,302 ","$299,235,624 ","5,549","$4,256,083 ","$51,072,996 ",50,19430,24979,5549
District of Columbia,18852,"18,852",0.50%,"$161,626,192 ","3,846",20.40%,"$32,699,172 ","8,554",45.40%,"$50,739,272 ","14,203",75.30%,"$102,269,728 ",244,1.30%,"$2,607,751 ","15,511",82.30%,"$117,778,536 ","12,506",66.30%,"$120,069,680 ","8,769",46.50%,"$58,180,388 ","48,003","$589,944,528 ","$39,007,388 ","$468,088,656 ","16,163","$21,286,671 ","$255,440,052 ",30,26765,"26,765",0.40%,"$216,181,664 ","5,683",21.20%,"$46,165,396 ","11,422",42.70%,"$69,282,600 ","19,550",73.00%,"$133,324,520 ",392,1.50%,"$3,783,678 ","21,428",1.50%,"$153,066,240 ","13,243",49.50%,"$127,004,344 ","10,405",38.90%,"$68,345,536 ","69,950","$821,331,840 ","$52,041,940 ","$624,503,280 ","16,163","$21,286,671 ","$255,440,052 ",50,31840,48003,16163
Florida,204691,"204,691",5.20%,"$1,687,370,240 ","59,003",28.80%,"$540,247,424 ","89,988",44.00%,"$633,694,784 ","54,996",26.90%,"$408,976,096 ","6,562",3.20%,"$47,208,260 ","68,451",33.40%,"$521,851,328 ","177,799",86.90%,"$1,488,661,376 ","105,586",51.60%,"$692,438,528 ","555,892","$8,608,925,952 ","$422,977,600 ","$5,075,731,200 ","116,459","$111,101,886 ","$1,333,222,632 ",30,345523,"345,523",5.30%,"$2,575,587,840 ","98,651",28.60%,"$795,444,032 ","148,340",42.90%,"$992,904,000 ","87,144",25.20%,"$581,842,240 ","11,516",3.30%,"$72,742,824 ","109,959",3.30%,"$748,460,864 ","196,531",56.90%,"$1,607,240,960 ","149,266",43.20%,"$927,227,904 ","952,005","$13,765,767,168 ","$640,072,640 ","$7,680,871,680 ","116,459","$111,101,886 ","$1,333,222,632 ",50,439433,555892,116459
